ID,Area (int), Perimeter (float), MajorAxisLength (float), MinorAxisLength (float), AspectRation (float), Eccentricity (float), ConvexArea (float), EquivDiameter (float), Extent (float), Solidity (float), roundness (float), Compactness (float), ShapeFactor1 (float), ShapeFactor2 (float), ShapeFactor3 (float), ShapeFactor4 (float),class
1,41949,774.378,296.4984313569,180.7257045257,1.6405991175,0.7927603693,42497,231.1084716364,0.7883075882,0.9871049721,0.879074058,0.7794593401,0.0070680691,0.0016093645,0.6075568628,0.996757253,SIRA
2,26000,609.322,223.2961680964,149.2513204233,1.4961084931,0.7438013661,26407,181.9456736587,0.7949125596,0.98458742,0.8800138234,0.8148177159,0.0085883142,0.0023352293,0.6639279102,0.9933081852,DERMASON
3,48903,849.167,324.3534191534,194.159800009,1.6705487909,0.8010438417,49534,249.5300251597,0.6846858199,0.9872612751,0.8522345746,0.7693152297,0.0066325873,0.0014331118,0.5918459226,0.9887074905,SIRA
4,55842,929.15,360.0793671268,203.3675362219,1.7705843018,0.8252378784,58135,266.6462875367,0.6484810479,0.9605573235,0.812828955,0.7405208737,0.0064481818,0.0011960966,0.5483711643,0.9709373751,HOROZ
5,60794,984.123,396.8343705105,196.1712128674,2.0228980833,0.8692684798,61447,278.218124648,0.7756810207,0.9893729556,0.7888089317,0.7010938198,0.0065275253,0.0009728209,0.4915325442,0.9943202415,HOROZ
6,34322,682.456,250.1151061914,175.1992976919,1.4276033608,0.7136772589,34696,209.0457549304,0.7940312319,0.9892206594,0.9260472328,0.8357981975,0.0072873115,0.0021935767,0.698558627,0.9972646436,DERMASON
7,34572,696.203,268.5661805902,164.1571001719,1.636031462,0.7914490152,34903,209.8057137939,0.7604760124,0.9905165745,0.8963189691,0.7812067526,0.0077683148,0.0017847218,0.6102839903,0.9984438089,DERMASON
8,76864,1111.913,415.5122888817,235.9464949211,1.7610445496,0.8231356369,78170,312.8358744878,0.7603371187,0.9832928233,0.7812521576,0.7528919911,0.0054058114,0.0010714487,0.5668463502,0.9982416755,BARBUNYA
9,71194,1045.404,402.7038224217,228.822874844,1.7598932043,0.8228792376,72636,301.0764290805,0.8087286441,0.9801475852,0.8186248866,0.747637376,0.0056564292,0.0010901497,0.5589616459,0.9837128021,CALI
10,68879,1032.23,426.2395534254,206.4094758516,2.0650193101,0.8749258164,69720,296.140957319,0.8115824202,0.9879374641,0.8123510449,0.6947758718,0.0061882367,0.0008894583,0.482713512,0.9968127236,HOROZ
11,48772,831.85,316.7738371398,197.4018421197,1.6047157095,0.7820917163,49358,249.1955839814,0.7071685419,0.9881275578,0.8857076326,0.7866671889,0.0064949938,0.0015343437,0.6188452661,0.9930707203,SIRA
12,49422,859.314,325.5628231537,194.4635312938,1.6741587535,0.8020067878,50202,250.8506423749,0.6657416887,0.9844627704,0.8410588898,0.7705137827,0.0065874069,0.0014322403,0.5936914893,0.9939338037,SIRA
13,188980,1696.319,650.0019913953,374.7298893591,1.7345880589,0.8170930874,192822,490.5270728146,0.6456087129,0.9800748877,0.8252977396,0.7546547231,0.0034395279,0.000688132,0.5695037511,0.9878544061,BOMBAY
14,35906,708.182,265.8057943615,172.4626980041,1.541236438,0.760933637,36238,213.8151984618,0.8109219025,0.9908383465,0.8996780452,0.8044038279,0.0074028239,0.0019119375,0.6470655183,0.9972809546,SIRA
15,48266,817.34,304.6827060355,202.2821977047,1.5062260025,0.7478116035,48780,247.8995358329,0.8072317367,0.9894628946,0.9079159916,0.8136317911,0.0063125742,0.001706467,0.6619966915,0.9971166304,SIRA
16,40658,761.513,278.17414306,187.4217688296,1.4842146929,0.7389530027,41179,227.5244457412,0.678266382,0.9873479201,0.8810513727,0.8179209011,0.0068418059,0.0018888425,0.6689946004,0.9929316153,SIRA
17,34588,688.803,257.7617533775,171.5078408361,1.5029152727,0.746510617,34938,209.8542574581,0.706988533,0.9899822543,0.9161050019,0.8141404018,0.0074523463,0.0020196217,0.6628245938,0.9961692051,DERMASON
18,68999,1012.123,391.5149719408,225.3661336873,1.7372396,0.8177132107,69656,296.398811312,0.676440889,0.9905679338,0.8464203034,0.7570561346,0.0056742123,0.0011497348,0.573133991,0.9956710653,BARBUNYA
19,40804,790.802,323.4756481286,163.287716625,1.9810164219,0.8632413738,41636,227.9325917533,0.7875699672,0.9800172927,0.8199305815,0.7046360153,0.0079275475,0.0012055298,0.4965119141,0.9835982555,HOROZ
20,34259,676.402,227.5449240585,191.8680382108,1.1859449139,0.5375851231,34623,208.8538090701,0.7701247612,0.9894867574,0.9409678386,0.9178574734,0.0066419021,0.0029078582,0.8424623414,0.9991139289,SEKER
21,50330,841.897,324.4375130223,198.0423501964,1.6382228988,0.7920798071,50882,253.1445166037,0.734315728,0.9891513698,0.8923163907,0.7802566178,0.0064462053,0.0014737837,0.6088003896,0.9973507391,SIRA
22,48290,856.955,325.4990703769,189.9201556251,1.713873229,0.8121320153,49146,247.9611615057,0.7461141497,0.9825825093,0.8263252721,0.7617876181,0.0067405067,0.0014002576,0.580320375,0.994595555,HOROZ
23,29293,636.476,241.0748285258,155.3683843797,1.5516337477,0.764619493,29669,193.1243277889,0.7301345962,0.9873268395,0.9086772425,0.8010970244,0.008229776,0.0020907796,0.6417564425,0.995770954,DERMASON
24,45454,777.58,278.0652979763,208.3350827021,1.3347022228,0.6623090096,45868,240.5698033137,0.789954814,0.9909740996,0.9446954167,0.8651557928,0.00611751,0.0021141302,0.7484945458,0.999017334,SEKER
25,52430,870.22,338.9620646905,198.5782423531,1.7069446314,0.8104252295,53014,258.3717270339,0.8164886162,0.988984042,0.8700247374,0.7622437846,0.0064650403,0.0013462526,0.5810155872,0.9917614373,SIRA
26,31534,671.57,236.7196427271,169.9273624482,1.3930637145,0.696205785,31979,200.3754870329,0.8041105671,0.986084618,0.8786306573,0.8464675121,0.0075068067,0.0023772572,0.716507249,0.9981402497,DERMASON
27,62502,952.384,369.8376368097,216.7894717481,1.7059760044,0.8101846717,63235,282.0993052544,0.810598397,0.9884083182,0.8659236421,0.762765271,0.0059172128,0.0012355508,0.5818108586,0.9925553639,CALI
28,55127,928.946,388.54501467,181.1102517328,2.1453507516,0.8847192707,55620,264.9337207352,0.805738256,0.9911362819,0.8027739753,0.6818610733,0.0070481799,0.0009398106,0.4649345233,0.997447629,HOROZ
29,42935,768.826,287.5230778659,191.2859613343,1.5031060087,0.7465858639,43389,233.8087676996,0.6933499128,0.9895365185,0.9127780917,0.8131826128,0.0066967061,0.0018063144,0.6612659618,0.9939528405,SIRA
30,21706,546.187,199.3233899008,138.8673300655,1.4353512076,0.7173688227,22006,166.2436090742,0.7910349854,0.9863673544,0.9143383684,0.8340396436,0.0091828706,0.0027409746,0.6956221271,0.9984620601,DERMASON
31,34290,684.886,254.4472911037,172.1170075764,1.4783390363,0.7365025011,34574,208.9482806557,0.7984817437,0.9917857349,0.9186303119,0.8211849289,0.0074204518,0.0020814884,0.6743446875,0.9969100754,DERMASON
32,36775,691.274,244.7388892548,191.4799120012,1.2781439405,0.6227957159,37039,216.3871166628,0.7551799906,0.9928723778,0.9670793283,0.8841550165,0.0066550344,0.0025086711,0.7817300932,0.9991635817,SEKER
33,58057,961.547,397.9690332081,186.6241595595,2.1324625608,0.883229276,58720,271.8831886099,0.8024020787,0.9887091281,0.7890843321,0.6831767447,0.0068547984,0.0009210999,0.4667304645,0.9952852416,HOROZ
34,69525,1014.682,347.6635952782,255.7337162247,1.3594750055,0.6774399632,70517,297.5264347041,0.7498867485,0.9859324702,0.8485763995,0.8557882929,0.0050005551,0.001654487,0.7323736023,0.995643607,BARBUNYA
35,39276,720.452,260.476759803,192.2367396819,1.3549790755,0.6747801753,39597,223.6241408234,0.7456996393,0.9918933253,0.950882846,0.858518591,0.0066319574,0.0022223902,0.7370541712,0.9986929794,SEKER
36,61776,980.591,392.5841176832,201.1244649362,1.9519461136,0.8588010587,62402,280.4561393793,0.6361838853,0.9899682702,0.8073351149,0.7143848331,0.0063549618,0.0010209903,0.5103456897,0.9961672857,HOROZ
37,35615,692.536,233.0035906975,195.2246497574,1.1935152195,0.5458834505,36004,212.9470037022,0.7433419603,0.9891956449,0.9331642756,0.913921554,0.0065422881,0.0028154324,0.8352526069,0.9968866984,SEKER
38,40369,760.189,276.6144812116,186.1248499223,1.4861770544,0.7397631675,40986,226.714373566,0.7277496349,0.9849460791,0.87783864,0.8196041385,0.0068521509,0.0019073186,0.6717509438,0.998340839,DERMASON
39,23940,658.923,222.7984458282,137.9285400953,1.6153179442,0.7853333116,24923,174.5891024691,0.7014767932,0.9605585202,0.6928906102,0.7836190321,0.0093065349,0.0021646499,0.6140587874,0.9919001781,DERMASON
40,35594,689.634,254.5729280212,178.4418371566,1.4266437293,0.7132144957,35966,212.8842134948,0.8116292327,0.9896568982,0.9404794939,0.836240582,0.0071521304,0.002157447,0.699298311,0.9976495503,DERMASON
41,33680,683.09,256.2032550126,167.933493774,1.5256233242,0.7552213942,34019,207.0814039615,0.80680321,0.9900349805,0.9070392732,0.8082699962,0.007606985,0.0020027104,0.6533003868,0.9966903078,SIRA
42,87516,1210.109,444.8966593043,251.5492960675,1.7686261352,0.8248095723,89724,333.8095744538,0.6714439159,0.9753911997,0.7510145339,0.7503081164,0.0050836037,0.0009938252,0.5629622696,0.9956697831,BARBUNYA
43,56232,941.886,379.9123340185,189.2570745362,2.0073877553,0.8670852066,56838,267.5757950181,0.6508785332,0.9893381189,0.7965200475,0.7043093131,0.006756159,0.0010254945,0.4960516085,0.995767925,HOROZ
44,36957,696.21,245.4100254843,191.9958467959,1.2782048653,0.6228425607,37260,216.9219072726,0.7679536198,0.9918679549,0.9581335772,0.8839162412,0.0066404206,0.0025004594,0.7813079214,0.9986715864,SEKER
